date,All items
2004-01-31,1.9262520638414937
2004-02-29,1.6930638995084513
2004-03-31,1.7372421281216077
2004-04-30,2.285092491838947
2004-05-31,3.051771117166213
2004-06-30,3.2661948829613596
2004-07-31,2.9907558455682492
2004-08-31,2.654387865655483
2004-09-30,2.5377969762419017
2004-10-31,3.189189189189201
2004-11-30,3.5230352303523116
2004-12-31,3.255561584373301
2005-01-31,2.969762419006483
2005-02-28,3.0075187969925032
2005-03-31,3.1483457844183604
2005-04-30,3.5106382978723483
2005-05-31,2.8027498677948293
2005-06-30,2.530311017395892
2005-07-31,3.167898627243937
2005-08-31,3.641160949868083
2005-09-30,4.686677198525535
2005-10-31,4.347826086956519
2005-11-30,3.4554973821989465
2005-12-31,3.4156594850236477
2006-01-31,3.9853172522286373
2006-02-28,3.59749739311781
2006-03-31,3.3626487325400856
2006-04-30,3.5457348406988665
2006-05-31,4.166666666666674
2006-06-30,4.318766066838053
2006-07-31,4.145342886386905
2006-08-31,3.8187372708757605
2006-09-30,2.062374245472842
2006-10-31,1.3052208835341528
2006-11-30,1.9736842105263275
2006-12-31,2.5406504065040636
2007-01-31,2.0756429652042385
2007-02-28,2.415198792148976
2007-03-31,2.7787787787787677
2007-04-30,2.5736972704714756
2007-05-31,2.6908641975308623
2007-06-30,2.687037949728932
2007-07-31,2.3582309582309557
2007-08-31,1.9700833742030355
2007-09-30,2.755051749630355
2007-10-31,3.5361744301288356
2007-11-30,4.306203473945414
2007-12-31,4.081268582755193
2008-01-31,4.280294047901356
2008-02-29,4.026555413048727
2008-03-31,3.981456231251701
2008-04-30,3.9368897748275122
2008-05-31,4.17554304180352
2008-06-30,5.0217900476117405
2008-07-31,5.6001229002539565
2008-08-31,5.371855115262347
2008-09-30,4.936927430572191
2008-10-31,3.655186277137501
2008-11-30,1.0695746918073956
2008-12-31,0.09141290064560437
2009-01-31,0.02984650369528552
2009-02-28,0.2361910880378737
2009-03-31,-0.3835562549173832
2009-04-30,-0.7368857152167174
2009-05-31,-1.2814357989586078
2009-06-30,-1.4267760436898702
2009-07-31,-2.097161353676058
2009-08-31,-1.4843486119606064
2009-09-30,-1.2862059666427395
2009-10-31,-0.1828482774861251
2009-11-30,1.8382958691302909
2009-12-31,2.721331126205828
2010-01-31,2.6257086429576137
2010-02-28,2.143331778145363
2010-03-31,2.3139594469439473
2010-04-30,2.2364471956480836
2010-05-31,2.0209860840939786
2010-06-30,1.053348972845658
2010-07-31,1.2351927783014638
2010-08-31,1.1481045618392027
2010-09-30,1.143682658159273
2010-10-31,1.1721876055269531
2010-11-30,1.1431609115702734
2010-12-31,1.4957235273143077
2011-01-31,1.631846857448771
2011-02-28,2.1075846286581656
2011-03-31,2.6816032642408505
2011-04-30,3.1636308592764673
2011-05-31,3.568645784634561
2011-06-30,3.558828252242341
2011-07-31,3.6287159822210757
2011-08-31,3.7712081791197782
2011-09-30,3.868356841040299
2011-10-31,3.5251999213574026
2011-11-30,3.3943775908008567
2011-12-31,2.9624188448710953
2012-01-31,2.9252167121508466
2012-02-29,2.871098780438208
2012-03-31,2.651398193021781
2012-04-30,2.3027398112989372
2012-05-31,1.704253774937592
2012-06-30,1.6639937622385137
2012-07-31,1.4084507042253502
2012-08-31,1.692378997550148
2012-09-30,1.9912820806649911
2012-10-31,2.1623435988711304
2012-11-30,1.764133846085847
2012-12-31,1.741022368747558
2013-01-31,1.5948646681225531
2013-02-28,1.9779235097490577
2013-03-31,1.4738962125967703
2013-04-30,1.063085381489448
2013-05-31,1.3619650588516885
2013-06-30,1.7544165453768912
2013-07-31,1.9606816118443948
2013-08-31,1.518367559543199
2013-09-30,1.184925261552161
2013-10-31,0.9636127046434018
2013-11-30,1.2370722045339066
2013-12-31,1.501735619618394
2014-01-31,1.5789473684210575
2014-02-28,1.1263492501055294
2014-03-31,1.51220287576308
2014-04-30,1.9528578985167577
2014-05-31,2.1271115499366777
2014-06-30,2.0723413731670526
2014-07-31,1.9923286357643066
2014-08-31,1.6996113341628316
2014-09-30,1.657918675715031
2014-10-31,1.664340215632043
2014-11-30,1.3223551823708934
2014-12-31,0.7564932696557447
2015-01-31,-0.08934831306964819
2015-02-28,-0.025129801815304553
2015-03-31,-0.07363739086643228
2015-04-30,-0.1995174461766891
2015-05-31,-0.039932744850779134
2015-06-30,0.12377120368545214
2015-07-31,0.1695697796432194
2015-08-31,0.1950792930057288
2015-09-30,-0.03612974780596856
2015-10-31,0.17057443573555986
2015-11-30,0.5017975786678841
2015-12-31,0.7295197860415881
2016-01-31,1.3730868138309926
2016-02-29,1.0177997801654737
2016-03-31,0.8525362211427412
2016-04-30,1.125110418894426
2016-05-31,1.019322554193569
2016-06-30,0.9973264945230875
2016-07-31,0.8271388704987004
2016-08-31,1.0628745027610353
2016-09-30,1.4637836474815646
2016-10-31,1.6359875209176034
2016-11-30,1.6925371625037933
2016-12-31,2.074622132966919
2017-01-31,2.5000422090529995
2017-02-28,2.7379581714893186
2017-03-31,2.3806124334402767
2017-04-30,2.199689878417299
2017-05-31,1.8748777208413614
2017-06-30,1.633487955256463
2017-07-31,1.727978456372492
2017-08-31,1.9389742120581754
2017-09-30,2.2329638650032235
2017-10-31,2.0411287019761692
2017-11-30,2.202582938683184
2017-12-31,2.1090824745684245
2018-01-31,2.0705076202751638
2018-02-28,2.2117954212386604
2018-03-31,2.3597114039729084
2018-04-30,2.462743943334811
2018-05-31,2.8010117148075553
2018-06-30,2.87154783531669
2018-07-31,2.9495150866471143
2018-08-31,2.6991801041874375
2018-09-30,2.2769721941990007
