date,0,1,2,3,4,5,6,7,8,9,10,11
2005-01-31,2.7301232603660575,2.516127284505666,2.430751919455394,2.5125680859001123,2.5265578959275685,2.1760062908316296,2.4717895848665665,2.2064933325574136,2.067609504154393,2.1578501506562717,3.310463022003004,3.0634737474450175
2005-02-28,2.8635663599586807,2.794421169975935,2.4472716865713116,2.3258594970042443,3.054496697573928,2.699288801147864,3.621793520460187,3.223332734769545,2.958489980327457,3.458273201007712,3.1797854525007385,2.969550532162633
2005-03-31,3.3843947006534063,2.793536737982925,2.94034096000516,3.2696282931153786,3.816809224405035,3.8841830679789546,3.5908361395910635,4.149639804044656,4.604049657428626,3.8448206793595023,3.5173642748130023,2.8212491498353267
2005-04-30,3.111833145927242,2.8912599962897683,3.670565579647267,3.8305209791686603,4.272342497035394,3.888043887904121,3.163492437362926,4.8287977045836135,4.6632771146124545,4.17375836946945,3.4998595066693006,2.570494317818751
2005-05-31,2.855216157302513,2.939162159202426,3.2517914331783615,3.6317984296750225,3.6928741212389578,3.582732774022183,4.225516218700935,3.8728917028896372,3.5952949093793665,3.6728104300948914,2.3900215833794936,2.488573806787687
2005-06-30,2.8412619147005986,3.313545738185476,3.4835194874341155,3.0059383058374296,3.396845250711454,3.80638064794582,4.513388846239579,4.3064275997104735,3.2587486902194667,2.559103922046544,2.7892403491887197,3.145161999366612
2005-07-31,3.4629892016527544,3.6898783418141514,3.5114539200493358,3.15248311712113,3.6278133959110415,3.904667668755054,4.249800435323546,4.520924600280393,3.614924421692727,3.526566097393001,3.885327863035457,3.0940691824608475
2005-08-31,3.8531971445541804,3.468637050024669,4.04555528550666,3.944701633968913,3.838387053266886,3.6800788000794253,2.497927598465126,4.1451869340555305,3.711587311692724,3.8381263405966815,3.2779460101751248,3.8042176045852623
2005-09-30,4.331275404068323,4.553441313327626,5.331004234601803,5.196389530833444,5.091977960723255,4.2399143223602245,3.382501402238857,4.46282350482812,4.238118990070157,4.080856594759792,3.446262029688834,2.246965783234806
2005-10-31,4.434231722636885,5.168821686116341,5.336829762528312,4.819196865870641,4.239035756993602,3.758778001184869,4.226312407983394,4.564491775732655,3.9346026751313823,3.4436897128387622,3.0968743594568036,2.321436696165541
2005-11-30,3.9283450503021227,4.0519103833551045,3.887342061120099,3.4726323857754267,2.9568060321121727,3.428193287522126,5.052322503868479,2.9679737161644155,2.141470468513218,1.3137765688376515,1.9598507176494557,2.8071049190022217
2005-12-31,3.4929502622082187,3.1593985650447154,2.5857793933406352,2.308047503441258,2.8897682221691494,3.02600854816215,3.044691636520006,3.0651683491876183,1.533148721646614,0.6055547993882846,2.340462979362451,2.6296361387230616
2006-01-31,3.5891628941863365,3.8851224423493194,2.8169158621299624,2.943459315796036,3.4250836007911776,3.7726113789865963,3.889249422264661,1.8121443931042054,3.118431982474245,2.200085374075529,3.6230809871234957,2.8127911592065673
2006-02-28,3.2022863831173574,3.3022265034928724,3.1952628884195957,3.1912865844387786,2.7129899000713964,2.9479199025173526,2.1798483707061096,2.3140555641133456,5.627641662578722,4.359103873974608,3.336710122361861,3.026699445807174
2006-03-31,3.1401830408460985,3.6140879794776612,3.453321774883289,3.1695743528972655,2.753227518634916,2.391781198741585,2.66025380862185,3.386197697518671,5.299621741546725,5.395742018003292,3.4949847020354023,2.685069854183712
2006-04-30,3.9129572597358124,3.9616425536867528,3.8888783340684485,3.3611781238785,2.891702361309979,3.4109648313241343,4.67153414899888,4.357274880263581,4.3528174519710845,5.945951773716416,4.612623951918512,3.3478225776805663
2006-05-31,4.748905729317954,4.035090606053613,3.869647263628816,2.7740646918286056,2.9095250512884476,3.9977330380939513,5.808856588203215,4.911585576691302,4.441840845598575,5.360698236832253,4.2825998940172605,3.883060849652821
2006-06-30,4.2430382095799155,4.539471535051879,2.9348271856668195,2.849974032199902,4.071591941525965,4.7544086596224515,4.631253179149142,4.729327170197288,5.238472256499199,3.3278410103875693,4.149737495392757,3.64386755009452
2006-07-31,4.037315447333917,3.4977362577915416,3.51957595204318,4.041725465689905,4.7771522698562325,4.283242665658074,5.032913092566589,4.249879957714856,3.8619179670518173,3.353625000841456,3.717134637136698,3.491723272200841
2006-08-31,2.9623045821095633,3.447977670697575,5.001822086268358,4.293903621551507,4.367307429526007,4.216797759243556,4.8449314035401025,3.424612313920779,3.5822261850321384,2.1846554262945355,3.3015675411142094,3.1962217220928664
