Date,Personal Consumption,Vehicles,Furnishings and Durables,Recreational Goods,Other Duables,Groceries,Clothing and Footwear,Gasoline and Energy,Other Nondurables,Housing and Utilities,Health Care,Transportation Services,Recreational Services,Food Services and Accomandations,Financial Services,Other Services,Donation
1960-01-01,1.6701705209063173,-0.01840377890927007,0.7933265968653767,-0.2539694140432349,0.19117135905456975,-1.0668482578594871,0.8918323957177198,3.6168981481481484,2.766284430783781,2.307466196355099,4.314430462493861,2.9987159150993157,5.677642980935881,4.147712068504147,2.4902051929078954,2.9387688277668635,0.04984952827574897
1960-02-01,1.6863111214844295,-0.015312997672432186,1.0174887602985914,-0.03562798898273091,0.166579906298809,-0.8088402825244698,1.3625157611457246,1.2956307925099004,2.8199822642624905,2.305771772653841,5.170445278094916,2.8930912378512796,5.447900144817593,4.05573304934328,2.5899853898260097,3.02211302211302,-1.234888377957409
1960-03-01,1.6793982156393974,-1.1943307471439863,1.1347761611038252,0.3072112351537414,0.3055131231773275,-0.10272799908686611,1.3899076529556778,0.40685022234837026,2.876550502067347,2.223200528285267,5.894805406285608,2.3770245950809854,4.702258726899392,3.8713678242381233,2.9130087789305708,2.9695680628272214,-3.4153885810027136
1960-04-01,1.8506663562823595,-1.104702615276639,0.9429110234870669,0.6603626491548265,0.14568158168574954,1.196131173811041,1.6035149648878892,0.4511278195488559,2.3943993410989526,1.8633540372670736,6.290531776913114,2.115887850467286,4.277165782673748,3.3541685007482913,3.727163621816249,3.322694164825262,-5.150792639644732
1960-05-01,1.907975103251719,-1.5330798479087386,0.8260571819893762,0.9236645426666914,0.22203719122953114,1.4282436618102488,1.4423437617225567,0.680464984406003,2.1778690930437254,2.1320093457943914,6.952734311985805,2.024049592949429,4.053228325072969,2.7310924369747687,4.285714285714282,3.703703703703689,-6.548441020423007
1960-06-01,1.6647331786543076,-2.557343271823777,0.6344255991797567,1.067915173869653,0.3400652370046463,0.9204207637777144,1.2797451751920685,1.7840197380907081,1.6477737524833471,1.7232603795535526,7.447321859417712,2.085971839380164,3.770403345474174,2.5674613570867217,4.7298198799199564,3.4974726887331005,-7.378121932598971
1960-07-01,1.6439942112880028,-2.7687000726216384,0.790817962254467,1.0930569281331093,0.28092810321506434,0.7304685270786972,1.421800947867286,3.404539385847808,1.2865292816393064,1.8513140699869375,7.784911717495977,1.9909367803283746,3.3319924912845384,2.3809523809523894,4.993342210386152,3.0403761958813034,-9.139534048892555
1960-08-01,1.6705202312138814,-1.6009550630586389,0.7369432874078796,0.9582773037895197,0.3819974996527276,1.1398785657005477,1.305580423754095,2.833552261212248,0.892598388686025,1.7987959672154878,7.9923273657289,1.7994668246445387,3.217426059152669,2.204095800069401,5.378631739910918,2.520128824476641,-9.665361020192814
1960-09-01,1.470164312481998,-3.0405611466910534,0.901632339116339,0.9605989293037696,0.24979184013321945,0.7355456722545406,1.3733857592754686,3.3330186006987215,0.49036575516326786,1.8334661932023937,7.875516036837099,1.8703334072595426,3.002923199574819,1.9463667820069173,5.35868053255612,2.429247173895621,-10.142244218546953
1960-10-01,1.3400816702133809,-3.129866560811023,1.0000213679779406,0.9245657203716541,0.21170999201749188,1.271162286952055,1.3489342674020044,0.5554012774229428,0.5136788641348183,1.465386558868111,7.3093887838689415,2.061931860172949,2.602893572042005,2.0321687997232893,5.434280815142121,2.214582667093069,-10.002143316424938
1960-11-01,1.6208759627543399,-1.806770055756974,0.8738569353046878,0.8265069640439585,0.5111443374248008,2.0953798591629913,1.2393536724006173,1.8946395563770801,0.4957629561307345,1.7528673447305803,6.9774718397997315,2.159970512347949,2.2381673359225847,1.5151515151515165,5.400433611457861,2.008128137700192,-9.67631966124806
1960-12-01,1.5271558158227223,-3.627779469996951,0.9374532874928083,0.7571064767017714,0.29151483602290346,2.5313555924632047,1.4287044798360733,1.1273332101275169,0.3857891403236032,1.3723236097140574,6.546134663341645,2.4863910548771453,2.419619961864676,1.7807983482450014,5.153358184553019,1.8627607068937921,-7.8214324727815585
1961-01-01,1.5852958070074659,-2.3499815928334713,0.7721513587304336,0.4790079132473718,0.4787510841283666,2.552483652632788,1.366950748745868,2.2991715535697654,0.3853675370988161,1.3647464444763648,6.924643584521402,2.178058081548846,2.617423248491192,1.4559780746831101,3.8486458468316544,1.5984095427435427,-6.283447130466878
1961-02-01,1.5837493544499905,-2.3646889453854825,0.5792163543441193,0.19556684685015177,0.24945431867787693,2.762145400252659,1.0991255268190316,2.474092054896841,0.298988040478399,1.3924777490668896,5.7227047146402095,2.313831734641568,2.799032110391751,1.432835820895516,3.851631279129977,1.6138007790762334,-4.056996958660324
1961-03-01,1.4681424556976352,-1.2582310569759174,0.45051745755148714,-0.18048073504881867,-0.21805344039872226,2.0852376599634277,0.9887215255620709,2.157934413871082,0.18372854108055361,1.4140109101349478,4.6286329386437055,2.761297883249108,2.765248087860365,1.4243070362473484,3.715910559648438,1.5889409708429416,-1.96156925540433
1961-04-01,1.0399405748243082,-0.9288116764896314,0.37151834239129833,-0.23735546828731174,-0.15239678581323404,0.8256984504015226,0.26241868716736216,-1.0666167664670398,0.3045101982188869,1.7001434720229562,3.6302623550945627,2.936008200322167,2.5953700684708045,1.7206132879045992,3.2589830944269442,1.3782178217821883,-1.2568840788287012
1961-05-01,0.9932073748501394,-0.3027401068857897,0.42450227108714134,-0.4071142649199464,-0.16269731376351476,0.3562743878301127,0.5029120828325755,0.0844832441565955,0.2987475583132231,1.4083500142979766,2.4886877828054303,3.477306002928255,2.929662012266747,1.8490115882753966,2.9189604404045544,1.2879266750948328,0.5269093171566495
